time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-19T21:38:06.692Z,43.715,-127.9085,10,4.5,mb,,192,1.97,0.97,us,us70007t8b,2020-02-26T09:34:26.918Z,"291km WNW of Bandon, Oregon",earthquake,8.1,1.9,0.057,91,reviewed,us,us
2020-01-05T11:13:49.727Z,43.4567,-128.679,10,3.7,ml,,230,2.48,0.52,us,us70006uz3,2020-01-22T06:21:23.814Z,"Off the coast of Oregon",earthquake,10.1,2,0.048,56,reviewed,us,us
2019-12-28T07:09:26.475Z,44.0699,-129.9558,10,3.7,ml,,259,1.757,0.84,us,us70006rtm,2020-02-05T06:23:02.040Z,"Off the coast of Oregon",earthquake,10.9,2,0.06,36,reviewed,us,us
2019-11-13T12:47:18.300Z,43.8328,-127.0351,10,2.8,ml,,252,2.191,0.78,us,us60006b1k,2020-02-07T20:20:35.040Z,"226km WNW of Bandon, Oregon",earthquake,10.5,2,0.043,70,reviewed,us,us
2019-11-01T15:12:54.871Z,44.02,-129.3875,10,3.5,mb,,261,3.854,1,us,us7000620g,2020-01-18T20:00:53.040Z,"Off the coast of Oregon",earthquake,11.2,2,0.22,5,reviewed,us,us
2019-10-26T10:30:38.393Z,43.2824,-127.1743,10,3.2,ml,,277,2.12,0.6,us,us6000637x,2020-01-11T21:26:43.040Z,"225km W of Bandon, Oregon",earthquake,4.4,2,0.042,74,reviewed,us,us
2019-10-10T19:16:41.504Z,43.3844,-128.0245,10,3.2,ml,,286,2.749,0.65,us,us70005t5t,2019-12-28T20:45:48.040Z,"295km W of Bandon, Oregon",earthquake,12,2,0.051,50,reviewed,us,us
2019-10-02T02:47:27.846Z,44.4058,-128.9564,10,3.9,mb,,221,3.682,0.78,us,us70005pnm,2019-12-27T15:49:47.040Z,"Off the coast of Oregon",earthquake,10.6,2,0.129,16,reviewed,us,us
2019-09-24T14:45:09.287Z,43.8552,-129.3281,10,3.1,ml,,289,3.771,0.48,us,us60005mtv,2019-12-20T19:02:09.040Z,"Off the coast of Oregon",earthquake,15,2,0.074,24,reviewed,us,us
2019-09-11T17:49:54.109Z,43.7295,-127.1248,10,3,ml,,246,2.21,0.63,us,us70005exh,2019-12-05T18:30:59.040Z,"230km WNW of Bandon, Oregon",earthquake,10,2,0.045,66,reviewed,us,us
2019-09-10T02:33:53.514Z,44.5396,-129.4604,10,4.1,mb,,199,4.051,0.78,us,us70005dye,2019-12-05T18:30:53.040Z,"Off the coast of Oregon",earthquake,8.8,1.9,0.053,97,reviewed,us,us
2019-09-06T10:33:31.262Z,43.6719,-127.5721,10,3.1,ml,,232,2.496,0.71,us,us70005fvt,2019-11-30T19:36:22.040Z,"263km WNW of Bandon, Oregon",earthquake,9.9,2,0.037,94,reviewed,us,us
